startX,bin,pins
1027.5,bin8,'pinR2C10|pinR2C9|pinR2C9|pinR3C9|pinR3C8|pinR4C8|pinR5C9|pinR7C10|pinR6C10|pinR7C10|pinR8C10|pinR9C10|pinR10C9|sep|sep|'
900.5,bin10,'pinR1C9|pinR1C10|pinR2C9|pinR3C9|pinR5C10|rightwall|wall|pinR9C11|pinR8C10|pinR9C11|wall|pinSep10|pinSep9|sep|sep|'
821.5,bin4,'pinR2C8|pinR3C7|pinR7C6|pinR6C5|pinR7C6|pinR8C5|pinR9C5|pinR9C5|pinR10C4|pinR10C4|pinR11C5|pinSep4|pinSep4|'
768.5,bin10,'pinR1C8|pinR2C7|pinR2C8|pinR3C8|pinR3C8|pinR4C7|pinR5C8|pinR6C7|pinR8C8|pinR8C9|pinR9C10|pinR10C9|pinR10C10|pinR11C10|pinR11C10|pinR11C10|pinSep10|'
983.5,bin9,'pinR1C10|pinR1C9|pinR2C9|pinR4C10|pinR4C10|pinR6C9|pinR6C9|pinR7C9|pinR7C9|pinR7C9|pinR7C9|pinR7C9|pinR8C8|pinR9C9|pinR10C9|pinR9C9|pinR11C9|pinSep9|pinSep8|sep|'
45.5,bin2,'wall|pinR5C2|pinR4C2|pinR4C1|pinR6C1|pinR7C1|pinR6C1|pinR8C1|wall|leftwall|wall|wallsep|pinR11C1|pinR11C2|pinR11C2|pinSep1|pinSep1|pinSep1|pinSep1|'
95.5,bin1,'pinR1C1|pinR1C2|pinR2C1|pinR2C1|pinR2C1|pinR3C1|pinR4C1|pinR5C2|pinR4C2|pinR6C2|pinR6C1|pinR8C1|pinR7C2|pinR9C2|pinR9C1|pinR10C1|wallsep|pinR11C1|wallsep|pinR11C1|wallsep|'
904.5,bin7,'pinR1C9|pinR1C10|pinR2C9|pinR4C8|pinR8C6|pinR8C4|pinR8C5|pinR9C5|pinR10C5|pinR10C6|'
492.5,bin6,'pinR1C5|pinR3C6|pinR3C6|pinR4C5|pinR4C6|pinR5C6|pinR6C6|pinR7C6|pinR9C5|pinR8C4|pinR9C4|pinR10C4|pinR11C5|pinR11C5|'
1120.5,bin10,'wall|pinR5C10|pinR5C9|pinR6C9|pinR6C10|pinR7C10|pinR9C11|wall|pinR9C11|wall|pinR11C11|sep|pinSep9|sep|'
1151.5,bin7,'rightwall|wall|pinR4C10|pinR8C8|pinR9C8|pinR8C7|pinR10C7|pinR10C8|pinR11C8|'
469.5,bin1,'pinR1C5|pinR3C4|pinR3C3|pinR3C4|pinR4C3|pinR7C2|pinR7C2|pinR8C2|pinR9C2|pinR10C1|pinR9C2|pinR11C2|'
367.5,bin5,'pinR1C4|pinR2C3|pinR5C5|pinR4C5|pinR6C4|pinR7C4|pinR7C4|pinR8C4|pinR10C5|pinR10C6|'
341.5,bin4,'pinR2C3|pinR2C3|pinR4C4|pinR3C4|pinR5C4|pinR5C5|pinR8C5|pinR8C6|pinR7C7|pinR8C6|pinR10C5|pinR10C4|pinR11C5|pinSep4|sep|'
1035.5,bin10,'pinR2C10|pinR1C10|pinR10C10|pinSep10|sep|'
1116.5,bin9,'wall|pinR3C11|pinR6C9|pinR7C8|pinR10C9|pinR11C10|pinR11C10|sep|'
705.5,bin7,'pinR1C7|pinR1C8|pinR4C8|pinR3C9|pinR5C8|pinR9C6|pinR8C5|pinR9C6|pinR11C7|pinR11C8|pinSep7|pinSep6|sep|'
892.5,bin10,'pinR1C9|pinR2C9|pinR5C11|wall|pinR5C11|pinR5C11|wall|pinR8C10|pinR8C9|pinR8C10|pinR10C10|wallsep|wall|pinSep10|pinSep10|'
104.5,bin3,'pinR1C1|pinR1C2|pinR2C1|wall|pinR7C2|pinR6C2|pinR7C2|pinR8C2|pinR9C3|pinR8C3|pinR9C3|pinR9C3|pinR10C3|pinSep2|sep|'
444.5,bin1,'pinR2C4|pinR1C5|pinR2C4|pinR3C5|pinR4C4|pinR4C3|pinR6C3|pinR6C3|pinR7C3|pinR7C3|pinR7C3|pinR8C2|pinR9C3|pinR11C2|pinR11C2|'
759.5,bin8,'pinR2C7|pinR4C8|pinR4C9|pinR4C8|pinR5C9|pinR8C10|pinR7C10|pinR8C10|pinR9C10|'
1106.5,bin8,'pinR1C11|rightwall|wall|pinR3C11|pinR2C10|pinR4C10|rightwall|wall|pinR7C11|pinR6C10|pinR7C11|pinR9C10|pinR10C10|pinR10C9|pinSep9|pinSep8|'
882.5,bin11,'pinR1C9|pinR1C8|pinR2C8|pinR4C9|pinR5C9|pinR5C9|pinR6C8|pinR6C8|pinR7C8|pinR9C9|pinR9C10|pinR9C10|pinR10C9|pinSep10|wallsep|'
149.5,bin2,'pinR2C1|pinR2C2|pinR2C3|pinR3C3|pinR4C2|pinR6C1|wall|pinR7C1|pinR8C1|wall|sep|'
233.5,bin1,'pinR2C2|pinR1C2|pinR2C2|pinR3C2|wall|pinR6C1|wall|leftwall|pinR11C2|pinR10C1|pinR10C1|pinR11C2|'
92.5,bin3,'pinR1C1|pinR1C1|pinR2C1|pinR3C1|leftwall|wall|pinR3C1|pinR5C1|pinR6C1|wall|wall|pinR11C2|pinR10C2|pinR10C2|pinR11C2|sep|'
285.5,bin6,'pinR1C3|pinR3C2|pinR4C1|pinR7C3|pinR6C3|pinR9C4|pinR10C5|'
201.5,bin3,'pinR1C2|pinR1C3|pinR3C2|pinR2C2|pinR4C2|pinR5C2|pinR5C1|wall|pinR7C1|pinR8C1|leftwall|wall|wallsep|pinR11C1|pinR11C2|pinR11C2|pinR11C2|pinSep2|sep|'
519.5,bin9,'pinR2C5|pinR3C5|pinR3C4|pinR2C3|pinR3C4|pinR4C3|pinR6C4|pinR7C5|pinR8C5|pinR10C6|pinR10C7|pinR11C8|pinSep8|pinSep9|'
716.5,bin9,'pinR2C7|pinR4C7|pinR6C7|pinR7C7|pinR8C7|pinR9C9|pinR11C9|pinR10C9|pinR11C9|pinR11C9|pinSep9|'
341.5,bin2,'pinR2C3|pinR2C3|pinR4C4|pinR3C5|pinR4C4|pinR5C5|pinR6C4|pinR7C4|pinR6C3|pinR7C4|pinR9C3|pinR8C3|pinR10C3|pinR10C2|pinSep2|sep|pinSep1|pinSep2|sep|'
